experiment_id,created_at,git_commit,config_hash,dataset_hash,model,dataset,seed,learning_rate,batch_size,effective_batch_size,rank,target_modules,precision,trainable_params,peak_vram_mb,tokens_per_second,final_loss,eval_score,status,environment,device,gpu_name,torch_version,torch_cuda_version,peak_cuda_reserved_mb,classification,parameters,tokenizer_vocab,sequence_length,training_tokens,supervised_next_token_targets,unique_train_corpus_tokens,validation_tokens,validation_loss_target_tokens,optimizer_steps,micro_batch,gradient_accumulation,effective_batch,effective_input_tokens_per_update,initial_train_loss,final_train_loss,final_train_probe_loss,train_loss_protocol,initial_validation_loss,final_validation_loss,initial_validation_ppl,final_validation_ppl,best_validation_loss,best_validation_ppl,best_step,peak_allocated_vram_mib,peak_reserved_vram_mib,median_tokens_per_second,mean_compute_tokens_per_second,elapsed_seconds,compute_seconds,resume_validation,non_finite_events,nan_events,inf_events,oom_events,stage_gpu1_baseline,dataset_manifest,dataset_manifest_hash,tokenizer_manifest,tokenizer_hash,model_config_hash,run_config_hash,gradient_norm_min,gradient_norm_max,median_optimizer_step_seconds,first_quarter_median_throughput,last_quarter_median_throughput,gpu_after,warmup_ratio,optimizer,primary_classification,regression_validation,regression_evidence
G02-tiny-overfit,2026-09-06T08:57:06.790481+00:00,uncommitted,bf33bcabac7b1dcea50669b1c358cb3aeafb058186ced9c0028841d2822c7a8d,e0db6608231700201c1e4f319ea8f606eb09d4467d84aa1dbda2d761c639730b,MiniLLM,,42,0.003,8,8,,,fp32,82240,,24769.19177129373,0.7505745887756348,,completed,"{""cuda"": null, ""gpu"": ""none"", ""platform"": ""Windows-10-10.0.26100-SP0"", ""python"": ""3.11.15"", ""pytorch"": ""2.14.0+cpu"", ""transformers"": ""5.16.1""}",cpu,none,2.14.0+cpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G03-minillm-gpu-smoke-512,2026-09-06T09:38:57.899728+00:00,da1393dda1d35cc52d99377c0b0c397e265ae6ed,6dfb588278d6ccfebd001fe7253964f84b7b6d3e200c7267c3d12169616dc7f1,d2dc71bc0551fbb28587af413d6f216f02d5ef47bea674551a14d9d27a2d5710,MiniLLM,,42,0.0003,1,2,,,bf16,37462528,799.7626953125,8370.991897719023,9.105185985565186,,completed,"{""cuda"": ""12.8"", ""gpu"": ""NVIDIA GeForce RTX 5060 Laptop GPU"", ""platform"": ""Windows-10-10.0.26100-SP0"", ""python"": ""3.11.15"", ""pytorch"": ""2.11.0+cu128"", ""transformers"": ""5.16.1""}",cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G04-minillm-gpu-smoke-1024,2026-09-06T09:41:29.299597+00:00,da1393dda1d35cc52d99377c0b0c397e265ae6ed,8208c379fe8d1d6e0737aec97e5b73ef1d078974a9719ca6a310bce35d8241cc,37d2d27f3f6e638125f0b4b1d6a776d18a7f39e1e624b0f067648741da0c3c1f,MiniLLM,,42,0.0003,1,2,,,bf16,37462528,927.40966796875,3568.0343841484932,9.652859687805176,,completed,"{""cuda"": ""12.8"", ""gpu"": ""NVIDIA GeForce RTX 5060 Laptop GPU"", ""platform"": ""Windows-10-10.0.26100-SP0"", ""python"": ""3.11.15"", ""pytorch"": ""2.11.0+cu128"", ""transformers"": ""5.16.1""}",cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,1058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E01,2026-09-12T09:58:31.535032+00:00,f864bd93ec6451dea512b2e2e94ba4992b78608b,09652b4b993cf523346c56a0a5bfc717f96448bf1b02a7e67cfb21e1a7e3adc5,44989a2a0fc8b41e2ecea3f5f5a5e312315dec4333fc8f4106844cfff7256103,MiniLLM,FineWeb-Edu sample-10BT pinned first-shard subset,42,0.0003,4,16,,,bf16,37462528,1849.02490234375,19572.967124167495,4.648381617334154,,completed,"{""cuda"": ""12.8"", ""gpu"": ""NVIDIA GeForce RTX 5060 Laptop GPU"", ""platform"": ""Windows-10-10.0.26100-SP0"", ""python"": ""3.11.15"", ""pytorch"": ""2.11.0+cu128"", ""snapshot"": ""NVIDIA GeForce RTX 5060 Laptop GPU, 50, 12.16 W, 1687 MHz, 254 MiB, 7557 MiB"", ""transformers"": ""5.16.1""}",cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,2394.0,MINILLM_FORMAL_PRETRAINING_VALIDATED,37462528,24000,1024,50003968,49955136,32179200,294912,294624,3052,4,4,16,16384,10.197603702545166,4.559089660644531,4.531962513923645,initial=fixed 32-block train probe; final=last online interval mean; final_train_probe_loss is the matched evaluation probe,10.196364243825277,4.648381617334154,26805.550246990944,104.41586393802609,4.648381617334154,104.41586393802609,3052,1849.02490234375,2394.0,19572.967124167495,19615.937912418995,2684.819079500041,2549.149993401137,EXACT_RESUME_CONFIRMED,0,0,0,0,05df0d0201746fab521ea776c00440e206ac7f47,artifacts\data_manifests\minillm_pretrain_formal.json,44989a2a0fc8b41e2ecea3f5f5a5e312315dec4333fc8f4106844cfff7256103,artifacts\tokenizers\minillm-tokenizer-manifest.json,e9578dfd6d2a0f4c3137d7cc223a7b8a782afba8190ae1ad105e1b8ef37e9a22,596a434d917d99d05d41b55b74446dc561f0fa082c4dec6397f9301bd6bd8592,09652b4b993cf523346c56a0a5bfc717f96448bf1b02a7e67cfb21e1a7e3adc5,0.4525877833366394,1.8230892419815063,0.8370728820050135,19557.328744973547,19485.312501012268,"{""snapshot"": ""NVIDIA GeForce RTX 5060 Laptop GPU, 65, 28.43 W, 277 MHz, 2530 MiB, 5281 MiB""}",0.03,AdamW,VALIDATED,PASS,artifacts\training\minillm_regression_validation.json
E00,,5261797f9fa29ce4eb0593b5b96e7028b3b379bb,,,Qwen/Qwen3-0.6B-Base,frozen math/general held-out,42,,,,,,bf16,,,,,,completed,,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,,QWEN_BASELINE_FROZEN,596049920,,512,,,,130816,,,,,,,,,,,1.6431705131544732,,5.171539982669485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E04,,945e9d4a52305644142c79f118b3b22dfcad0bae,9f7e71c9b3654d44bf0af6dcffc0471b02bf81a7d504879cc230c4e941e901d6,37db2b796b317996aa10a15d40a0405c88d5808777564790a8e035fca58a8c28,Qwen/Qwen3-0.6B-Base,HuggingFaceTB/finemath:finemath-4plus,42,2e-05,1,8,,,bf16,596049920,4406.9248046875,1972.9060655661494,0.8361293151974678,5.034781095518302,completed,,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,4536.0,QWEN_MATH_CPT_VALIDATED_WITH_GENERAL_DEGRADATION,596049920,,512,10002432,,,,,2442,1,8,,4096,,0.8361293151974678,,,1.6431705131544732,1.616370048664976,5.171539982669485,5.034781095518302,,,,4406.9248046875,4536.0,1972.9060655661494,,5172.92196279997,,CPT_RESUME_SEMANTICS_VALIDATED,,0,0,0,3b5fa0be15ec17b05af2f5b768cb55780767ebe0,artifacts/data_manifests/qwen_math_cpt_train.json,,,,,,,,,,,,0.03,AdamW8bit,QWEN_MATH_CPT_VALIDATED_WITH_GENERAL_DEGRADATION,PASS,artifacts\training\qwen_cpt_regression_validation.json
B-LORA-s42,2026-09-19T13:36:56Z,1ca175ef2802fb1eba4beaef33b22dcc751a7db3,e6c0441ffc01f10281605da7f435984aa7c69e937fa2e1890bf593674539a37a,7bfffc5a6a3a6abccea8e578a866249e5a6bd0b5ca8475865b9631f771783038,Qwen/Qwen3-0.6B-Base,GPU2D frozen 512-context math SFT,42,,1,16,16,all-linear,bf16,10092544,3668,648.3706907846783,0.8841767143458128,0.21,completed,,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,,GPU2D_FORMAL_RUN_VALID,,,512,,,,,,1200,1,16,,,,0.8841767143458128,,,,0.9266587625395385,,,,,,2377.400390625,3530.0,648.3706907846783,,8371.328916072845,,,,0,0,0,,,,,,,,,,,,,,,AdamW,GPU2D_FORMAL_RUN_VALID,PASS,"{""GSM8K_FIXED_200"": {""correct"": 57, ""total"": 200}, ""MATH500"": {""correct"": 105, ""total"": 500}, ""result"": ""experiments/results/B-LORA-s42.json""}"
C-LORA-s42,2026-09-19T13:36:56Z,1ca175ef2802fb1eba4beaef33b22dcc751a7db3,e6c0441ffc01f10281605da7f435984aa7c69e937fa2e1890bf593674539a37a,7bfffc5a6a3a6abccea8e578a866249e5a6bd0b5ca8475865b9631f771783038,Qwen/Qwen3-0.6B-Base,GPU2D frozen 512-context math SFT,42,,1,16,16,all-linear,bf16,10092544,3668,720.2104629705077,0.8850472904741764,0.208,completed,,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,,GPU2D_FORMAL_RUN_VALID,,,512,,,,,,1200,1,16,,,,0.8850472904741764,,,,0.9267233493819571,,,,,,2377.400390625,3530.0,720.2104629705077,,7373.658416032791,,,,0,0,0,,,,,,,,,,,,,,,AdamW,GPU2D_FORMAL_RUN_VALID,PASS,"{""GSM8K_FIXED_200"": {""correct"": 51, ""total"": 200}, ""MATH500"": {""correct"": 104, ""total"": 500}, ""result"": ""experiments/results/C-LORA-s42.json""}"
B-LORA-s31415,2026-09-19T13:36:56Z,1ca175ef2802fb1eba4beaef33b22dcc751a7db3,e6c0441ffc01f10281605da7f435984aa7c69e937fa2e1890bf593674539a37a,7bfffc5a6a3a6abccea8e578a866249e5a6bd0b5ca8475865b9631f771783038,Qwen/Qwen3-0.6B-Base,GPU2D frozen 512-context math SFT,31415,,1,16,16,all-linear,bf16,10092544,3686,739.9161069316849,0.9145057071000338,0.204,completed,,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,,GPU2D_FORMAL_RUN_VALID,,,512,,,,,,1200,1,16,,,,0.9145057071000338,,,,0.9269720905910906,,,,,,2377.49072265625,3548.0,739.9161069316849,,7456.389583349228,,,,0,0,0,,,,,,,,,,,,,,,AdamW,GPU2D_FORMAL_RUN_VALID,PASS,"{""GSM8K_FIXED_200"": {""correct"": 65, ""total"": 200}, ""MATH500"": {""correct"": 102, ""total"": 500}, ""result"": ""experiments/results/B-LORA-s31415.json""}"
C-LORA-s31415,2026-09-19T13:36:56Z,1ca175ef2802fb1eba4beaef33b22dcc751a7db3,e6c0441ffc01f10281605da7f435984aa7c69e937fa2e1890bf593674539a37a,7bfffc5a6a3a6abccea8e578a866249e5a6bd0b5ca8475865b9631f771783038,Qwen/Qwen3-0.6B-Base,GPU2D frozen 512-context math SFT,31415,,1,16,16,all-linear,bf16,10092544,3686,696.251921658954,0.9173064790666103,0.198,completed,,cuda,NVIDIA GeForce RTX 5060 Laptop GPU,2.11.0+cu128,12.8,,GPU2D_FORMAL_RUN_VALID,,,512,,,,,,1200,1,16,,,,0.9173064790666103,,,,0.9275874790448443,,,,,,2377.49072265625,3548.0,696.251921658954,,7674.107804059982,,,,0,0,0,,,,,,,,,,,,,,,AdamW,GPU2D_FORMAL_RUN_VALID,PASS,"{""GSM8K_FIXED_200"": {""correct"": 41, ""total"": 200}, ""MATH500"": {""correct"": 99, ""total"": 500}, ""result"": ""experiments/results/C-LORA-s31415.json""}"
